Score_Category,Sentiment,Local_Category,Topic_Category,Domain,Global_Classification,Global_Democrat_Count,Global_Republican_Count,Global_Total_Count,Combination_Classification,Combination_Democrat_Count,Combination_Republican_Count,Combination_Total_Count,Score
low,Positive,all,Politics,yorknewstimes.com,Republican,0,2,2,Republican,0,1,1,72.5
low,Positive,all,Non Politics,yorknewstimes.com,Republican,0,2,2,Republican,0,1,1,72.5
low,Positive,local,Non Politics,yorknewstimes.com,Republican,0,2,2,Republican,0,1,1,72.5
low,Positive,local,Politics,yorknewstimes.com,Republican,0,2,2,Republican,0,1,1,72.5
high,Positive,all,Politics,yellowhammernews.com,Republican,1,447,448,Republican,0,104,104,80
high,Positive,all,Mixed,yellowhammernews.com,Republican,1,447,448,Republican,0,180,180,80
high,Positive,all,Non Politics,yellowhammernews.com,Republican,1,447,448,Republican,0,36,36,80
high,Positive,local,Mixed,yellowhammernews.com,Republican,1,447,448,Republican,0,108,108,80
high,Positive,local,Politics,yellowhammernews.com,Republican,1,447,448,Republican,0,50,50,80
high,Positive,local,Non Politics,yellowhammernews.com,Republican,1,447,448,Republican,0,25,25,80
high,Positive,non_local,Politics,yellowhammernews.com,Republican,1,447,448,Republican,0,54,54,80
high,Positive,non_local,Mixed,yellowhammernews.com,Republican,1,447,448,Republican,0,72,72,80
high,Positive,non_local,Non Politics,yellowhammernews.com,Republican,1,447,448,Republican,0,11,11,80
high,Negative,all,Politics,yellowhammernews.com,Republican,1,447,448,Republican,1,86,87,80
high,Negative,all,Mixed,yellowhammernews.com,Republican,1,447,448,Republican,0,40,40,80
high,Negative,all,Non Politics,yellowhammernews.com,Republican,1,447,448,Republican,0,1,1,80
high,Negative,local,Mixed,yellowhammernews.com,Republican,1,447,448,Republican,0,18,18,80
high,Negative,local,Non Politics,yellowhammernews.com,Republican,1,447,448,Republican,0,1,1,80
high,Negative,local,Politics,yellowhammernews.com,Republican,1,447,448,Republican,0,36,36,80
high,Negative,non_local,Politics,yellowhammernews.com,Republican,1,447,448,Republican,1,50,51,80
high,Negative,non_local,Mixed,yellowhammernews.com,Republican,1,447,448,Republican,0,22,22,80
high,Positive,all,Politics,yadkinripple.com,Republican,0,2,2,Republican,0,1,1,100
high,Positive,non_local,Politics,yadkinripple.com,Republican,0,2,2,Republican,0,1,1,100
high,Negative,all,Mixed,yadkinripple.com,Republican,0,2,2,Republican,0,1,1,100
high,Negative,non_local,Mixed,yadkinripple.com,Republican,0,2,2,Republican,0,1,1,100
high,Positive,all,Non Politics,xgames.espn.com,Democrat,1,0,1,Democrat,1,0,1,92.5
high,Positive,local,Non Politics,xgames.espn.com,Democrat,1,0,1,Democrat,1,0,1,92.5
low,Positive,all,Mixed,www.zerohedge.com,Republican,0,6,6,Republican,0,2,2,7.5
low,Positive,non_local,Mixed,www.zerohedge.com,Republican,0,6,6,Republican,0,2,2,7.5
low,Negative,all,Mixed,www.zerohedge.com,Republican,0,6,6,Republican,0,2,2,7.5
low,Negative,all,Politics,www.zerohedge.com,Republican,0,6,6,Republican,0,2,2,7.5
low,Negative,local,Politics,www.zerohedge.com,Republican,0,6,6,Republican,0,1,1,7.5
low,Negative,non_local,Mixed,www.zerohedge.com,Republican,0,6,6,Republican,0,2,2,7.5
low,Negative,non_local,Politics,www.zerohedge.com,Republican,0,6,6,Republican,0,1,1,7.5
high,Negative,all,Politics,www.zdnet.com,Republican,0,2,2,Republican,0,2,2,100
high,Negative,non_local,Politics,www.zdnet.com,Republican,0,2,2,Republican,0,2,2,100
high,Positive,all,Politics,www.zanesvilletimesrecorder.com,Republican,0,2,2,Republican,0,1,1,95
high,Positive,all,Mixed,www.zanesvilletimesrecorder.com,Republican,0,2,2,Republican,0,1,1,95
high,Positive,local,Mixed,www.zanesvilletimesrecorder.com,Republican,0,2,2,Republican,0,1,1,95
high,Positive,local,Politics,www.zanesvilletimesrecorder.com,Republican,0,2,2,Republican,0,1,1,95
high,Positive,all,Mixed,www.yourstephenvilletx.com,Republican,0,1,1,Republican,0,1,1,95
high,Positive,non_local,Mixed,www.yourstephenvilletx.com,Republican,0,1,1,Republican,0,1,1,95
low,Positive,all,Politics,www.yorknewstimes.com,Republican,0,5,5,Republican,0,1,1,72.5
low,Positive,all,Non Politics,www.yorknewstimes.com,Republican,0,5,5,Republican,0,1,1,72.5
low,Positive,all,Mixed,www.yorknewstimes.com,Republican,0,5,5,Republican,0,2,2,72.5
low,Positive,local,Non Politics,www.yorknewstimes.com,Republican,0,5,5,Republican,0,1,1,72.5
low,Positive,local,Politics,www.yorknewstimes.com,Republican,0,5,5,Republican,0,1,1,72.5
low,Positive,local,Mixed,www.yorknewstimes.com,Republican,0,5,5,Republican,0,2,2,72.5
