domain,analysis_level,score,dem_count,rep_count,classification,total_count,dimension,sentiment_cat,topic,local_cat,has_local,dimension_count
www.washingtonpost.com,domain_only,100.0,6860,1950,Democrat,8810,,,,,False,1
www.washingtonpost.com,single_dimension,100.0,4028,1134,Democrat,5162,sentiment_cat,Positive,,,False,1
www.washingtonpost.com,single_dimension,100.0,2832,816,Democrat,3648,sentiment_cat,Negative,,,False,1
www.washingtonpost.com,single_dimension,100.0,3143,1069,Democrat,4212,topic,,Politics,,False,1
www.washingtonpost.com,single_dimension,100.0,3249,748,Democrat,3997,topic,,Mixed,,False,1
www.washingtonpost.com,single_dimension,100.0,468,133,Democrat,601,topic,,Non Politics,,False,1
www.washingtonpost.com,single_dimension,100.0,1261,253,Democrat,1514,local_cat,,,local,False,1
www.washingtonpost.com,single_dimension,100.0,5599,1697,Democrat,7296,local_cat,,,non_local,False,1
www.washingtonpost.com,sentiment_cat_topic,100.0,1724,543,Democrat,2267,,Positive,Politics,,False,3
www.washingtonpost.com,sentiment_cat_topic,100.0,2006,506,Democrat,2512,,Positive,Mixed,,False,3
www.washingtonpost.com,sentiment_cat_topic,100.0,298,85,Democrat,383,,Positive,Non Politics,,False,3
www.washingtonpost.com,sentiment_cat_topic,100.0,1419,526,Democrat,1945,,Negative,Politics,,False,3
www.washingtonpost.com,sentiment_cat_topic,100.0,1243,242,Democrat,1485,,Negative,Mixed,,False,3
www.washingtonpost.com,sentiment_cat_topic,100.0,170,48,Democrat,218,,Negative,Non Politics,,False,3
www.washingtonpost.com,full_combination,100.0,293,56,Democrat,349,,Positive,Politics,local,True,2
www.washingtonpost.com,full_combination,100.0,1431,487,Democrat,1918,,Positive,Politics,non_local,True,2
www.washingtonpost.com,full_combination,100.0,382,81,Democrat,463,,Positive,Mixed,local,True,2
www.washingtonpost.com,full_combination,100.0,1624,425,Democrat,2049,,Positive,Mixed,non_local,True,2
www.washingtonpost.com,full_combination,100.0,85,23,Democrat,108,,Positive,Non Politics,local,True,2
www.washingtonpost.com,full_combination,100.0,213,62,Democrat,275,,Positive,Non Politics,non_local,True,2
www.washingtonpost.com,full_combination,100.0,234,39,Democrat,273,,Negative,Politics,local,True,2
www.washingtonpost.com,full_combination,100.0,1185,487,Democrat,1672,,Negative,Politics,non_local,True,2
www.washingtonpost.com,full_combination,100.0,226,45,Democrat,271,,Negative,Mixed,local,True,2
www.washingtonpost.com,full_combination,100.0,1017,197,Democrat,1214,,Negative,Mixed,non_local,True,2
www.washingtonpost.com,full_combination,100.0,41,9,Democrat,50,,Negative,Non Politics,local,True,2
www.washingtonpost.com,full_combination,100.0,129,39,Democrat,168,,Negative,Non Politics,non_local,True,2
apnews.com,domain_only,95.0,1186,605,Democrat,1791,,,,,False,1
apnews.com,single_dimension,95.0,649,314,Democrat,963,sentiment_cat,Positive,,,False,1
apnews.com,single_dimension,95.0,537,291,Democrat,828,sentiment_cat,Negative,,,False,1
apnews.com,single_dimension,95.0,644,278,Democrat,922,topic,,Mixed,,False,1
apnews.com,single_dimension,95.0,466,266,Democrat,732,topic,,Politics,,False,1
apnews.com,single_dimension,95.0,76,61,Both,137,topic,,Non Politics,,False,1
apnews.com,single_dimension,95.0,304,136,Democrat,440,local_cat,,,local,False,1
apnews.com,single_dimension,95.0,882,469,Democrat,1351,local_cat,,,non_local,False,1
apnews.com,sentiment_cat_topic,95.0,378,168,Democrat,546,,Positive,Mixed,,False,3
apnews.com,sentiment_cat_topic,95.0,233,115,Democrat,348,,Positive,Politics,,False,3
apnews.com,sentiment_cat_topic,95.0,38,31,Both,69,,Positive,Non Politics,,False,3
apnews.com,sentiment_cat_topic,95.0,266,110,Democrat,376,,Negative,Mixed,,False,3
apnews.com,sentiment_cat_topic,95.0,233,151,Democrat,384,,Negative,Politics,,False,3
apnews.com,sentiment_cat_topic,95.0,38,30,Both,68,,Negative,Non Politics,,False,3
apnews.com,full_combination,95.0,108,48,Democrat,156,,Positive,Mixed,local,True,2
apnews.com,full_combination,95.0,270,120,Democrat,390,,Positive,Mixed,non_local,True,2
apnews.com,full_combination,95.0,64,17,Democrat,81,,Positive,Politics,local,True,2
apnews.com,full_combination,95.0,169,98,Democrat,267,,Positive,Politics,non_local,True,2
apnews.com,full_combination,95.0,12,8,Both,20,,Positive,Non Politics,local,True,2
apnews.com,full_combination,95.0,26,23,Both,49,,Positive,Non Politics,non_local,True,2
apnews.com,full_combination,95.0,66,25,Democrat,91,,Negative,Mixed,local,True,2
apnews.com,full_combination,95.0,200,85,Democrat,285,,Negative,Mixed,non_local,True,2
apnews.com,full_combination,95.0,42,29,Both,71,,Negative,Politics,local,True,2
apnews.com,full_combination,95.0,191,122,Democrat,313,,Negative,Politics,non_local,True,2
apnews.com,full_combination,95.0,12,9,Both,21,,Negative,Non Politics,local,True,2
apnews.com,full_combination,95.0,26,21,Both,47,,Negative,Non Politics,non_local,True,2
www.usatoday.com,domain_only,100.0,1035,565,Democrat,1600,,,,,False,1
www.usatoday.com,single_dimension,100.0,556,337,Democrat,893,sentiment_cat,Positive,,,False,1
www.usatoday.com,single_dimension,100.0,479,228,Democrat,707,sentiment_cat,Negative,,,False,1
www.usatoday.com,single_dimension,100.0,433,204,Democrat,637,topic,,Politics,,False,1
www.usatoday.com,single_dimension,100.0,515,275,Democrat,790,topic,,Mixed,,False,1
www.usatoday.com,single_dimension,100.0,87,86,Both,173,topic,,Non Politics,,False,1
www.usatoday.com,single_dimension,100.0,194,117,Democrat,311,local_cat,,,local,False,1
www.usatoday.com,single_dimension,100.0,841,448,Democrat,1289,local_cat,,,non_local,False,1
www.usatoday.com,sentiment_cat_topic,100.0,206,95,Democrat,301,,Positive,Politics,,False,3
